"id" "zspec" "flag" "zphot_best" "ra" "dec" "g_AB" "g_AB_lim" "mask_design_flag" "flag_gzk_ir" "flag_gzk_opt" "flag_BM" "flag_BX" "flag_LBG" "flag_BZ36" "flag_photz" "flag_xray" "flag_radio" "flag_bright_guide_star" "pointing" "mask" "quad" "slit" "obj" "year_reduction" "source_zphot_best" "flag_ilbert_photz1.7"
400938 2.3621 3.5 2.4760 150.220016 1.757342 25.06 25.25 1 1 1 0 1 0 -1 1 0 0 0 62 1 4 35 1 83 2 0
400940 2.6125 14.5 2.3730 149.804565 1.758148 24.19 25.25 2 1 1 0 1 0 -1 1 2 0 0 32 1 4 44 1 81 4 2
400949 2.2122 3.5 2.3770 150.444794 1.758508 24.57 25.25 1 1 1 0 1 0 -1 1 0 0 0 82 1 4 37 1 83 2 0
400951 1.8142 4.5 2.0510 150.115387 1.758837 22.34 24.50 1 1 1 1 0 0 -1 1 0 0 0 62 1 4 33 1 83 2 0
400952 1.9082 1.1 1.4101 150.144791 1.759337 23.61 24.50 1 1 1 1 0 0 -1 1 0 0 0 52 1 1 39 2 81 1 0
400955 9.9999 0.0 2.2127 150.440796 1.758438 24.70 25.25 1 1 1 0 1 0 -1 1 0 0 0 72 1 1 45 1 81 1 0
400956 2.6601 3.5 2.7670 149.876205 1.758638 24.66 25.25 1 1 1 0 1 0 -1 1 0 0 0 42 1 4 36 1 83 2 0
400969 0.4476 3.5 0.4720 149.724884 1.758911 24.90 25.25 1 1 1 0 0 0 -1 1 0 0 0 32 1 4 43 1 81 1 0
400974 1.9954 2.5 2.0730 149.963516 1.761515 24.56 25.25 1 1 1 1 0 0 -1 1 0 0 0 32 1 1 39 1 81 1 0
400991 1.3352 1.5 1.1840 150.257629 1.760309 24.29 24.50 1 1 0 0 0 0 -1 1 0 0 0 72 1 4 38 1 81 1 0
401001 2.0519 23.5 2.0240 149.775238 1.760718 23.93 25.25 1 1 1 0 1 0 -1 1 0 0 0 32 1 4 41 2 81 1 0
401006 2.9653 14.5 2.9280 150.341263 1.761215 24.24 25.25 1 1 1 0 1 0 -1 1 0 0 0 62 1 1 36 1 83 2 0
401019 2.5645 4.5 2.8120 150.606308 1.761735 25.21 25.25 1 1 0 0 0 0 -1 1 0 0 0 82 1 1 33 1 83 3 -99
401028 1.9176 13.5 1.7810 149.897644 1.762597 24.95 24.50 1 1 1 0 0 0 -1 0 0 0 0 42 1 4 33 2 83 2 0
